Name,Address,Zip,Latitude,Longitude
Piccola Cucina,184 Prince St New York City, NY 10012-2979,40.812242,-73.9532
SottoCasa Pizzeria,227 Lenox Ave New York City, NY 10027-6542,40.812242,-73.9532
Boucherie Park Avenue South,225 Park Ave S New York City, NY 10003-1604,40.730223,-73.988564
Pisillo Italian Panini,97 Nassau St New York City, NY 10038-2703,40.710223,-74.003368
Club A Steakhouse,240 E 58th Street New York City, NY 10022-2001,40.758775,-73.967842
Daniel,60 East 65th Street New York City, NY 10065-7056,40.764584,-73.963013
Song E Napule,146 W Houston St New York City, NY 10012-2561,40.725581,-73.998078
Piccola Cucina,196 Spring St New York City, NY 10012-3621,40.725581,-73.998078
Decoy Bar,529 1/2 Hudson St New York City, NY 10014-2601,40.738088,-74.005095
Sottocasa Pizzeria,298 Atlantic Ave Brooklyn, NY 11201-6763,40.694481,-73.989319
Petite Boucherie,14 Christopher St New York City, NY 10014-3523,40.738088,-74.005095
Faiccos Pork Store,260 Bleecker St New York City, NY 10014-4128,40.738088,-74.005095
Los Tacos No. 1,75 9th Ave New York City, NY 10011-7006,40.740916,-73.999769
Spice Symphony,150 E 50th St New York City, NY 10022-9500,40.758775,-73.967842
Per Se,10 Columbus Cir New York City, NY 10019-1158,40.765926,-73.985443
Fiore Deli of Hoboken,414 Adams St Hoboken, NJ 07030-2693,40.746851,-74.033934
Le Bernardin,155 W 51st St New York City, NY 10019-6019,40.765926,-73.985443
Murrays Cheese,254 Bleecker St New York City, NY 10014-4101,40.738088,-74.005095
Pure Thai Cookhouse,766 9th Ave New York City, NY 10019-6323,40.765926,-73.985443
K Rico,772 9th Ave New York City, NY 10019-6327,40.765926,-73.985443
Eileens Special Cheesecake,17 Cleveland Pl New York City, NY 10012-4052,40.725581,-73.998078
Gabriel Kreuther,41 W 42nd St New York City, NY 10036-8003,40.75953,-73.989847
Bleecker Street Pizza,69 7th Ave S New York City, NY 10014-4043,40.738088,-74.005095
B Side Pizzeria,370 W 51st St New York City, NY 10019-6403,40.765926,-73.985443
Boucherie Restaurant,99 7th Ave S New York City, NY 10014-3415,40.738088,-74.005095
Olio e Piu,3 Greenwich Ave New York City, NY 10014-3543,40.738088,-74.005095
Royal 35 Steakhouse,1 E 35th Street New York City, NY 10016-3828,40.745527,-73.978449
Gramercy Tavern,42 E 20th St New York City, NY 10003-1300,40.730223,-73.988564
Julianas Pizza,19 Old Fulton St Brooklyn, NY 11201-1322,40.694481,-73.989319
Jungsik,2 Harrison St New York City, NY 10013-2810,40.722105,-74.003497
Indian Accent,123 W 56th St New York City, NY 10019-3802,40.765926,-73.985443
The Modern,9 W 53rd St New York City, NY 10019-5401,40.765926,-73.985443
Momofuku Ko,8 Extra Pl New York City, NY 10003-8926,40.730223,-73.988564
Tree Bistro,190 1st Ave New York City, NY 10009-4004,40.72775,-73.980396
San Carlo Osteria Piemonte,90 Thompson St New York City, NY 10012-3744,40.725581,-73.998078
San Matteo Pizza Espresso Bar,1739 2nd Ave New York City, NY 10128-3502,40.780989,-73.95158
Nish Nush,88 Reade St New York City, NY 10013-3814,40.722105,-74.003497
LArtusi,228 W 10th St New York City, NY 10014-6405,40.738088,-74.005095
The Musket Room,265 Elizabeth St New York City, NY 10012-3989,40.725581,-73.998078
RabbitHole,352 Bedford Ave Brooklyn, NY 11249-5586,40.645099,-73.945032
Hatsuhana Restaurant,17 E 48th St Ste 1 New York City, NY 10017-1010,40.752955,-73.973196
Bouley Restaurant,163 Duane Street New York City, NY 10013-3810,40.722105,-74.003497
Rubirosa,235 Mulberry St New York City, NY 10012-4157,40.725581,-73.998078
Craft,43 E 19th St New York City, NY 10003-1304,40.730223,-73.988564
Broadway Bagel,2658 Broadway New York City, NY 10025-5023,40.798664,-73.967778
Russ & Daughters,179 E Houston St New York City, NY 10002-1024,40.718758,-73.986427
Izakaya Mew,53 W 35th St New York City, NY 10001-2219,40.750422,-73.996328
Gallaghers Steak House,228 W 52nd St New York City, NY 10019-5802,40.765926,-73.985443
Beyond Sushi,229 E 14th St New York City, NY 10003-4111,40.730223,-73.988564
Loi Estiatorio,132 W 58th St New York City, NY 10019-2135,40.765926,-73.985443
Russ & Daughters Cafe,127 Orchard St New York City, NY 10002-3103,40.718758,-73.986427
Numero 28 Pizzeria,28 Carmine St New York City, NY 10014-4437,40.738088,-74.005095
Lincoln Square Steak,208 W 70th Street New York City, NY 10023-4302,40.776765,-73.982213
Cull & Pistol,75 9th Ave New York City, NY 10011-7006,40.740916,-73.999769
Mastros Steakhouse,1285 Avenue of the Americas New York City, NY 10019,40.765926,-73.985443
Patsys Italian Restaurant,236 W 56th St New York City, NY 10019-4306,40.765926,-73.985443
Rafele,29 7th Ave S New York City, NY 10014-3938,40.738088,-74.005095
Via Della Pace,48 E 7th St New York City, NY 10003-8437,40.730223,-73.988564
Keens Steakhouse,72 West 36th Street New York City, NY 10018-8025,40.755332,-73.993172
Upstate,95 1st Ave New York City, NY 10003-2902,40.730223,-73.988564
Momosan Ramen & Sake,342 Lexington Ave New York City, NY 10016-0907,40.745527,-73.978449
