Name,Stars
Chef’s Table at Brooklyn Fare,3
Eleven Madison Park,3
Le Bernardin,3
Masa,3
Per Se,3
Aquavit,2
Aska,2
Atera,2
Blanca,2
Daniel,2
Gabriel Kreuther,2
Ichimura at Uchu,2
Jean-Georges,2
Jungsik,2
Ko,2
L’Atelier de Joel Robuchon,2
Marea,2
The Modern,2
Sushi Ginza Onodera,2
Tetsu Basement,2
Agern,1
Ai Fiori,1
Aldea,1
Atomix,1
Babbo,1
Bar Uchu,1
Batard,1
Blue Hill,1
Bouley at Home,1
Cafe Boulud,1
Cafe China,1
Carbone,1
Casa Enrique,1
Casa Mono,1
Caviar Russe,1
Claro,1
The Clocktower,1
Contra,1
Cote,1
Del Posto,1
Faro,1
The Finch,1
Gotham Bar and Grill,1
Gramercy Tavern,1
Gunter Seeger NY,1
Hirohisa,1
Jeju Noodle Bar,1
Jewel Bako,1
Junoon,1
Kajitsu,1
Kanoyama,1
Kosaka,1
Kyo Ya,1
L’Appart,1
Le Coucou,1
Le Grill de Joel Robuchon,1
Meadowsweet,1
The Musket Room,1
Nix,1
Noda,1
NoMad,1
Okuda,1
Oxomoco,1
Peter Luger Steak House,1
The River Cafe,1
Satsuki,1
Sushi Amane,1
Sushi Inoue,1
Sushi Nakazawa,1
Sushi Noz,1
Sushi Yasuda,1
Tempura Matsui,1
Tuome,1
Uncle Boon's,1
Wallse,1
ZZ’s Clam Bar,1
